I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6,Pleth,Resp,Temp
-69,3,72,32,-70,38,95,72,89,-30,81,123,-656,-1684,365
-183,-89,94,136,-138,2,81,65,89,-43,76,129,-809,-1697,365
-164,-77,87,120,-125,5,99,45,91,-35,64,139,-693,-1710,365
-94,-12,82,53,-88,35,84,73,88,-39,87,152,-621,-1724,365
-124,-31,93,77,-108,30,47,89,96,1,104,163,-440,-1735,365
-89,24,113,32,-101,69,36,75,113,29,121,151,-246,-1744,365
-107,-1,106,54,-107,53,32,67,106,26,142,144,5,-1754,365
-53,45,98,4,-76,71,73,75,96,53,134,134,258,-1764,365
-33,60,93,-14,-63,76,68,72,87,54,119,124,509,-1775,365
-65,17,82,23,-73,49,22,34,91,40,125,126,726,-1785,365
-43,41,83,1,-63,62,46,53,102,4,123,137,901,-1790,365
-73,11,84,31,-79,48,50,77,127,27,146,162,1032,-1798,365
-97,-11,86,53,-91,38,41,40,107,39,125,143,1117,-1802,365
-81,8,90,36,-85,49,35,32,83,18,109,131,1167,-1805,365
-59,18,76,20,-68,47,31,66,113,23,153,166,1189,-1807,365
-128,-63,65,95,-96,1,14,71,115,-23,155,170,1191,-1799,365
-122,-37,85,79,-103,24,18,70,114,-7,155,170,1181,-1795,365
-25,68,93,-22,-60,81,76,65,114,26,152,167,1159,-1782,365
-91,-7,85,49,-88,39,52,37,70,-29,115,130,1133,-1774,365
-115,-12,104,63,-109,46,23,33,50,-25,95,114,1099,-1760,365
-118,-23,95,70,-106,36,55,37,81,4,124,122,1063,-1743,365
-110,-55,55,82,-82,0,44,27,86,-11,137,108,1023,-1729,365
-105,-53,53,79,-79,0,32,34,85,-24,136,118,981,-1711,365
-120,-59,62,89,-90,1,49,24,84,-10,140,130,938,-1696,365
5,42,37,-24,-16,39,76,31,88,18,142,131,895,-1677,365
-109,-55,54,82,-81,-1,123,53,112,-20,159,166,851,-1652,365
-153,-45,108,99,-130,31,121,39,106,4,158,165,808,-1629,365
-113,-3,110,58,-112,53,96,37,94,51,153,152,764,-1604,365
-190,-80,110,135,-150,15,97,30,87,-4,143,147,717,-1580,365
-108,-10,98,59,-103,44,89,29,76,-26,130,137,665,-1560,365
-97,-14,83,55,-90,34,80,37,79,-20,132,138,610,-1534,365
-91,1,92,45,-92,47,69,12,79,-39,134,141,551,-1514,365
-97,-8,89,52,-93,41,63,2,80,-44,123,139,487,-1495,365
-95,-18,77,57,-86,29,74,32,79,-19,123,146,419,-1474,365
-89,-16,73,52,-81,29,61,47,83,1,132,144,350,-1454,365
-55,2,57,26,-56,30,53,56,100,18,148,145,278,-1435,365
-72,-21,51,46,-61,15,54,28,80,-3,168,184,208,-1421,365
-105,-28,77,66,-91,24,52,-5,67,-25,165,150,143,-1399,365
-35,32,68,1,-52,50,82,45,103,-4,130,138,84,-1380,365
-114,-41,72,77,-93,15,113,76,143,-9,127,178,32,-1364,365
-42,35,77,3,-60,56,111,52,144,40,184,174,-12,-1348,365
48,116,68,-82,-11,91,118,63,140,72,195,174,-45,-1330,365
27,98,71,-63,-23,84,127,106,174,67,206,179,-67,-1310,365
46,108,62,-78,-8,85,92,103,176,86,226,198,-78,-1295,365
-19,48,67,-15,-43,57,94,71,141,51,216,197,-79,-1267,365
-8,20,28,-6,-18,24,101,40,106,30,198,189,-73,-1241,365
-39,-15,24,27,-31,4,68,40,93,19,174,162,-61,-1209,365
-139,-70,70,104,-104,0,59,52,84,-17,141,124,-47,-1182,365
-94,-26,68,60,-81,21,84,26,82,-2,125,137,-30,-1156,365
-103,-40,63,71,-83,12,93,26,94,0,118,127,-10,-1129,365
-179,-129,49,154,-114,-40,80,6,82,-57,94,122,9,-1101,365
-118,-78,39,98,-79,-19,76,13,106,-48,123,130,19,-1068,365
-65,-47,18,56,-41,-15,91,28,81,-79,121,123,21,-1036,365
-126,-100,26,113,-76,-37,104,12,110,-19,154,149,19,-1002,365
-115,-73,42,94,-78,-16,89,62,77,-23,111,108,10,-968,365
-23,33,56,-5,-40,45,107,147,159,47,176,158,-4,-935,365
85,-11,-96,-37,90,-53,172,589,676,335,392,232,-19,-902,365
552,244,-308,-398,429,-31,-20,752,1180,974,1142,693,-38,-868,365
841,581,-260,-711,550,160,-506,-98,982,1389,1789,1195,-59,-835,365
291,35,-257,-163,274,-111,-519,-712,-255,94,562,486,-81,-801,365
-100,-261,-161,180,31,-211,-165,-467,-718,-671,-298,-88,-104,-771,365
-79,-75,4,77,-41,-36,-36,-135,-183,-217,-18,31,-129,-741,365
-140,-125,15,133,-77,-55,58,25,-56,-172,-16,-4,-153,-707,365
-152,-98,54,125,-103,-22,110,93,18,-91,79,28,-178,-680,365
-105,-64,41,84,-73,-11,109,86,58,-75,63,45,-201,-654,365
-78,-72,6,75,-42,-32,144,112,78,-75,84,78,-226,-627,365
-137,-125,12,130,-74,-56,164,129,107,-87,88,89,-252,-604,365
-177,-129,48,153,-113,-40,158,122,74,-118,58,56,-275,-580,365
-165,-103,63,134,-114,-20,151,134,77,-88,85,67,-298,-560,365
-178,-127,52,152,-115,-37,140,116,80,-98,51,53,-321,-540,365
-138,-89,49,113,-93,-20,136,124,122,-84,74,68,-346,-525,365
-154,-113,42,133,-98,-35,125,144,113,-95,87,89,-369,-505,365
-158,-121,37,139,-97,-42,109,141,105,-85,92,97,-392,-488,365
-90,-61,29,76,-59,-16,141,166,141,-78,77,84,-414,-471,365
-153,-101,52,127,-102,-25,175,182,158,-40,79,62,-436,-455,365
-140,-104,36,122,-87,-34,208,191,165,-43,108,45,-456,-436,365
-100,-93,7,97,-53,-43,217,212,177,-62,114,36,-479,-416,365
-76,-87,-11,82,-33,-48,197,245,221,-9,104,51,-501,-396,365
-16,-33,-18,25,1,-25,186,252,231,5,100,44,-520,-376,365
-106,-78,28,92,-67,-25,207,272,270,25,137,69,-540,-356,365
-78,-36,42,57,-59,3,214,308,320,86,178,102,-560,-336,365
15,22,7,-19,4,14,179,319,329,100,181,99,-576,-316,365
2,-26,-28,12,15,-27,177,349,371,93,184,99,-593,-295,365
37,20,-17,-29,27,2,165,382,399,159,231,121,-609,-270,365
28,52,24,-41,2,38,138,386,435,187,264,154,-622,-251,365
45,66,22,-56,11,44,117,382,444,174,270,156,-634,-230,365
61,23,-38,-42,49,-8,88,359,406,157,248,143,-645,-211,365
74,40,-34,-57,54,3,82,333,391,147,232,136,-655,-197,365
46,77,32,-62,7,54,68,323,383,164,274,192,-666,-184,365
20,34,14,-27,3,24,64,265,322,116,253,222,-674,-170,365
35,23,-12,-29,24,6,2,198,246,58,228,164,-682,-157,365
1,-4,-5,2,3,-4,-19,161,212,51,222,124,-690,-144,365
5,38,33,-21,-14,35,72,135,197,63,210,143,-698,-128,365
2,45,43,-24,-21,44,29,107,178,49,215,159,-703,-111,365
15,30,15,-23,0,23,44,89,119,37,215,153,-711,-94,365
-111,-74,37,92,-74,-18,101,67,59,-31,191,138,-722,-79,365
-67,-29,38,48,-52,4,77,51,79,-75,166,110,-734,-67,365
-58,-3,54,30,-56,25,83,49,55,-59,140,79,-750,-52,365
-133,-80,54,106,-93,-13,70,20,11,-92,93,76,-764,-45,365
-29,29,58,-1,-43,43,69,22,49,-99,130,92,-776,-31,365
